teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.7441008999958285}
normalization constant Z_v1 is set to 111604.0
normalization constant Z_v2 is set to 111029.1
{'epoch': 1, 'global_step': 782, 'ce': 3.843858012084961, 'kd': 9.521826588134765, 'crd': 22.015319368896485, 'total': 21.45611397583008, 'train_top1': 10.978, 'test_top1': 15.44, 'test_top5': 41.15, 'test_ce': 3.5901283763885496, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.56115330000466, 'train_seconds': 90.6391833000016, 'train_n': 50000, 'best_top1': 15.44, 'peak_memory_bytes': 1446451200}
{'epoch': 2, 'global_step': 1564, 'ce': 3.1890357664489746, 'kd': 8.563501053466798, 'crd': 19.94240229675293, 'total': 19.142957887573242, 'train_top1': 21.522, 'test_top1': 23.66, 'test_top5': 55.87, 'test_ce': 3.0183209003448486, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.85138140000345, 'train_seconds': 90.85002900000109, 'train_n': 50000, 'best_top1': 23.66, 'peak_memory_bytes': 1446451200}
{'epoch': 3, 'global_step': 2346, 'ce': 2.763022324142456, 'kd': 7.890527555389404, 'crd': 17.558672725219726, 'total': 16.809960691223143, 'train_top1': 29.292, 'test_top1': 27.21, 'test_top5': 59.9, 'test_ce': 2.921338611793518, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.13710519999586, 'train_seconds': 90.18227399999887, 'train_n': 50000, 'best_top1': 27.21, 'peak_memory_bytes': 1446451200}
{'epoch': 4, 'global_step': 3128, 'ce': 2.4040942502975464, 'kd': 7.311175326690674, 'crd': 15.017641104736327, 'total': 14.418207333374024, 'train_top1': 36.828, 'test_top1': 35.62, 'test_top5': 69.8, 'test_ce': 2.5124368350982667, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.90354800000205, 'train_seconds': 91.00501690000237, 'train_n': 50000, 'best_top1': 35.62, 'peak_memory_bytes': 1446451200}
{'epoch': 5, 'global_step': 3910, 'ce': 2.111267542266846, 'kd': 6.846415518798828, 'crd': 13.394144215393066, 'total': 12.826583110046387, 'train_top1': 43.184, 'test_top1': 45.67, 'test_top5': 76.93, 'test_ce': 2.057905009269714, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.65260610000405, 'train_seconds': 90.54510590000427, 'train_n': 50000, 'best_top1': 45.67, 'peak_memory_bytes': 1446451200}
{'epoch': 6, 'global_step': 4692, 'ce': 1.915602014465332, 'kd': 6.50306603881836, 'crd': 12.500804609069824, 'total': 11.916245876464844, 'train_top1': 47.778, 'test_top1': 46.27, 'test_top5': 78.87, 'test_ce': 1.9804036769866944, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.11723630000051, 'train_seconds': 91.01232519999758, 'train_n': 50000, 'best_top1': 46.27, 'peak_memory_bytes': 1446451200}
{'epoch': 7, 'global_step': 5474, 'ce': 1.754280595626831, 'kd': 6.221212892456054, 'crd': 11.611883506469727, 'total': 11.043787613220214, 'train_top1': 51.998, 'test_top1': 48.12, 'test_top5': 78.78, 'test_ce': 1.9588321575164795, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.53835510000499, 'train_seconds': 90.60655440000119, 'train_n': 50000, 'best_top1': 48.12, 'peak_memory_bytes': 1446451200}
{'epoch': 8, 'global_step': 6256, 'ce': 1.639944354248047, 'kd': 5.991253010101318, 'crd': 10.913043474731445, 'total': 10.370379305725098, 'train_top1': 54.984, 'test_top1': 47.5, 'test_top5': 79.78, 'test_ce': 2.0419271045684813, 'test_n': 10000, 'lr': 0.05, 'seconds': 91.87539590000233, 'train_seconds': 89.969886400002, 'train_n': 50000, 'best_top1': 48.12, 'peak_memory_bytes': 1446451200}
{'epoch': 9, 'global_step': 7038, 'ce': 1.5556552683258056, 'kd': 5.859054928588868, 'crd': 10.412074812011719, 'total': 9.88531530456543, 'train_top1': 57.236, 'test_top1': 50.55, 'test_top5': 80.77, 'test_ce': 1.853394215965271, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.57805209999788, 'train_seconds': 90.56333099999756, 'train_n': 50000, 'best_top1': 50.55, 'peak_memory_bytes': 1446451200}
{'epoch': 10, 'global_step': 7820, 'ce': 1.500281865348816, 'kd': 5.722064376220703, 'crd': 10.023169069213868, 'total': 9.518817272644043, 'train_top1': 58.388, 'test_top1': 51.79, 'test_top5': 82.18, 'test_ce': 1.7850125995635986, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.8402447000044, 'train_seconds': 90.85117600000376, 'train_n': 50000, 'best_top1': 51.79, 'peak_memory_bytes': 1446451200}
{'epoch': 11, 'global_step': 8602, 'ce': 1.4509453311157225, 'kd': 5.635231505432129, 'crd': 9.72115305633545, 'total': 9.227867893066406, 'train_top1': 59.928, 'test_top1': 53.99, 'test_top5': 82.6, 'test_ce': 1.7238281194686889, 'test_n': 10000, 'lr': 0.05, 'seconds': 91.88427219999721, 'train_seconds': 89.92483039999934, 'train_n': 50000, 'best_top1': 53.99, 'peak_memory_bytes': 1446451200}
