teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.9118540000054054}
{'epoch': 1, 'global_step': 782, 'ce': 3.9327989437866213, 'kd': 9.239157548522948, 'crd': 0.0, 'total': 8.708521494140625, 'train_top1': 10.39, 'test_top1': 15.81, 'test_top5': 42.26, 'test_ce': 3.8133509284973144, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.333487200026866, 'train_seconds': 34.30006919999141, 'train_n': 50000, 'best_top1': 15.81, 'peak_memory_bytes': 416142848}
{'epoch': 2, 'global_step': 1564, 'ce': 3.225002251434326, 'kd': 7.994737872314453, 'crd': 0.0, 'total': 7.5177641355896, 'train_top1': 21.68, 'test_top1': 20.02, 'test_top5': 51.58, 'test_ce': 3.9951455112457275, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.705595000006724, 'train_seconds': 34.655811099975836, 'train_n': 50000, 'best_top1': 20.02, 'peak_memory_bytes': 416142848}
{'epoch': 3, 'global_step': 2346, 'ce': 2.7420004726409912, 'kd': 7.096365101776123, 'crd': 0.0, 'total': 6.660928471984863, 'train_top1': 30.904, 'test_top1': 31.01, 'test_top5': 65.86, 'test_ce': 2.926935256767273, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.37151719996473, 'train_seconds': 34.36039719998371, 'train_n': 50000, 'best_top1': 31.01, 'peak_memory_bytes': 416142848}
{'epoch': 4, 'global_step': 3128, 'ce': 2.4177241229248048, 'kd': 6.428121861419678, 'crd': 0.0, 'total': 6.027081914520264, 'train_top1': 37.844, 'test_top1': 29.95, 'test_top5': 60.4, 'test_ce': 3.546476361465454, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.42224189999979, 'train_seconds': 34.452207800000906, 'train_n': 50000, 'best_top1': 31.01, 'peak_memory_bytes': 416142848}
{'epoch': 5, 'global_step': 3910, 'ce': 2.1898866371154786, 'kd': 5.969472362976075, 'crd': 0.0, 'total': 5.59151365814209, 'train_top1': 43.146, 'test_top1': 38.23, 'test_top5': 71.5, 'test_ce': 2.7514336334228515, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.464902799983975, 'train_seconds': 34.48602149996441, 'train_n': 50000, 'best_top1': 38.23, 'peak_memory_bytes': 416142848}
{'epoch': 6, 'global_step': 4692, 'ce': 2.0280463145446777, 'kd': 5.6464740396118165, 'crd': 0.0, 'total': 5.284631142883301, 'train_top1': 46.9, 'test_top1': 36.99, 'test_top5': 71.18, 'test_ce': 3.5930467838287354, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.46201610000571, 'train_seconds': 34.43832030001795, 'train_n': 50000, 'best_top1': 38.23, 'peak_memory_bytes': 416142848}
{'epoch': 7, 'global_step': 5474, 'ce': 1.9128078922653198, 'kd': 5.396791980895996, 'crd': 0.0, 'total': 5.048393447265625, 'train_top1': 49.56, 'test_top1': 41.18, 'test_top5': 73.67, 'test_ce': 2.7794080898284914, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.638380100019276, 'train_seconds': 34.63994409999577, 'train_n': 50000, 'best_top1': 41.18, 'peak_memory_bytes': 416142848}
{'epoch': 8, 'global_step': 6256, 'ce': 1.8169343257141113, 'kd': 5.200144526672363, 'crd': 0.0, 'total': 4.861823401641845, 'train_top1': 52.24, 'test_top1': 44.95, 'test_top5': 77.28, 'test_ce': 2.514910824203491, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.58379560004687, 'train_seconds': 34.558414400031324, 'train_n': 50000, 'best_top1': 44.95, 'peak_memory_bytes': 416142848}
{'epoch': 9, 'global_step': 7038, 'ce': 1.7414943545150756, 'kd': 5.022494891052246, 'crd': 0.0, 'total': 4.694394722442627, 'train_top1': 53.984, 'test_top1': 44.83, 'test_top5': 77.51, 'test_ce': 2.616039998626709, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.72908570000436, 'train_seconds': 34.70566689997213, 'train_n': 50000, 'best_top1': 44.95, 'peak_memory_bytes': 416142848}
{'epoch': 10, 'global_step': 7820, 'ce': 1.6970552494812012, 'kd': 4.928646071166992, 'crd': 0.0, 'total': 4.605486878204346, 'train_top1': 55.138, 'test_top1': 45.89, 'test_top5': 77.96, 'test_ce': 2.716902324485779, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.56202890002169, 'train_seconds': 34.60761420003837, 'train_n': 50000, 'best_top1': 45.89, 'peak_memory_bytes': 416142848}
{'epoch': 11, 'global_step': 8602, 'ce': 1.6573570704078675, 'kd': 4.8497912963867185, 'crd': 0.0, 'total': 4.530547771072388, 'train_top1': 56.178, 'test_top1': 47.88, 'test_top5': 77.6, 'test_ce': 2.359737354850769, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.24859909998486, 'train_seconds': 34.27394889999414, 'train_n': 50000, 'best_top1': 47.88, 'peak_memory_bytes': 416142848}
