teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.8075198999995337}
normalization constant Z_v1 is set to 74028.5
normalization constant Z_v2 is set to 74094.4
{'epoch': 1, 'global_step': 782, 'ce': 3.8496848454284667, 'kd': 9.548600274963379, 'crd': 21.230177952880858, 'total': 20.83382758605957, 'train_top1': 10.734, 'test_top1': 14.42, 'test_top5': 39.17, 'test_ce': 3.6192418212890627, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.58960890000071, 'train_seconds': 92.42819429999963, 'train_n': 50000, 'best_top1': 14.42, 'peak_memory_bytes': 1446451200}
{'epoch': 2, 'global_step': 1564, 'ce': 3.2348948118591307, 'kd': 8.649892680664063, 'crd': 19.776962211914064, 'total': 19.056464837646484, 'train_top1': 20.518, 'test_top1': 19.15, 'test_top5': 47.96, 'test_ce': 3.4568745525360107, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.07329769999888, 'train_seconds': 92.85705099999905, 'train_n': 50000, 'best_top1': 19.15, 'peak_memory_bytes': 1446451200}
{'epoch': 3, 'global_step': 2346, 'ce': 2.7344671881866454, 'kd': 7.872447217102051, 'crd': 18.080976292114258, 'total': 17.199248390197752, 'train_top1': 30.192, 'test_top1': 28.85, 'test_top5': 60.65, 'test_ce': 2.9976168308258058, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.72297400000025, 'train_seconds': 92.60057890000098, 'train_n': 50000, 'best_top1': 28.85, 'peak_memory_bytes': 1446451200}
{'epoch': 4, 'global_step': 3128, 'ce': 2.3479890661621092, 'kd': 7.238822022094727, 'crd': 16.0279308404541, 'total': 15.170333931884766, 'train_top1': 37.972, 'test_top1': 37.99, 'test_top5': 71.35, 'test_ce': 2.362503743362427, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.8616746000007, 'train_seconds': 92.74562030000016, 'train_n': 50000, 'best_top1': 37.99, 'peak_memory_bytes': 1446451200}
{'epoch': 5, 'global_step': 3910, 'ce': 2.081363946647644, 'kd': 6.814724702758789, 'crd': 14.8928306640625, 'total': 13.995628673706054, 'train_top1': 44.016, 'test_top1': 39.68, 'test_top5': 72.36, 'test_ce': 2.3654608612060546, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.61903709999933, 'train_seconds': 91.5200275999996, 'train_n': 50000, 'best_top1': 39.68, 'peak_memory_bytes': 1446451200}
{'epoch': 6, 'global_step': 4692, 'ce': 1.9048337114715577, 'kd': 6.491145410461426, 'crd': 13.909428742980957, 'total': 13.032376920471192, 'train_top1': 48.124, 'test_top1': 44.2, 'test_top5': 77.2, 'test_ce': 2.103536323547363, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.7238357999995, 'train_seconds': 91.45433520000006, 'train_n': 50000, 'best_top1': 44.2, 'peak_memory_bytes': 1446451200}
{'epoch': 7, 'global_step': 5474, 'ce': 1.7559350105667115, 'kd': 6.2216311001586915, 'crd': 13.14081982269287, 'total': 12.268591086730957, 'train_top1': 51.934, 'test_top1': 47.7, 'test_top5': 79.56, 'test_ce': 1.973698586654663, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.49039509999966, 'train_seconds': 91.47111839999889, 'train_n': 50000, 'best_top1': 47.7, 'peak_memory_bytes': 1446451200}
{'epoch': 8, 'global_step': 6256, 'ce': 1.6491254903030395, 'kd': 6.014458005981445, 'crd': 12.594463278808593, 'total': 11.724696299438477, 'train_top1': 54.384, 'test_top1': 45.47, 'test_top5': 75.66, 'test_ce': 2.122896311378479, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.4289718, 'train_seconds': 91.41558729999997, 'train_n': 50000, 'best_top1': 47.7, 'peak_memory_bytes': 1446451200}
{'epoch': 9, 'global_step': 7038, 'ce': 1.5753449143981935, 'kd': 5.891612473297119, 'crd': 12.18209911102295, 'total': 11.32102438293457, 'train_top1': 56.26, 'test_top1': 49.29, 'test_top5': 80.17, 'test_ce': 1.930216007423401, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.18098800000007, 'train_seconds': 91.98957110000083, 'train_n': 50000, 'best_top1': 49.29, 'peak_memory_bytes': 1446451200}
{'epoch': 10, 'global_step': 7820, 'ce': 1.507408551940918, 'kd': 5.756436970977783, 'crd': 11.865258382263184, 'total': 10.99961541442871, 'train_top1': 58.158, 'test_top1': 50.14, 'test_top5': 80.78, 'test_ce': 1.849991440963745, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.17823080000016, 'train_seconds': 92.10849529999905, 'train_n': 50000, 'best_top1': 50.14, 'peak_memory_bytes': 1446451200}
{'epoch': 11, 'global_step': 8602, 'ce': 1.4573477880859376, 'kd': 5.632164805908203, 'crd': 11.608669371643066, 'total': 10.744283477783203, 'train_top1': 59.378, 'test_top1': 54.72, 'test_top5': 83.83, 'test_ce': 1.6700040437698365, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.40648890000011, 'train_seconds': 92.27009510000062, 'train_n': 50000, 'best_top1': 54.72, 'peak_memory_bytes': 1446451200}
