{'epoch': 1, 'global_step': 782, 'ce': 3.8301221142578123, 'kd': 0.0, 'crd': 0.0, 'total': 3.8301221142578123, 'train_top1': 10.938, 'test_top1': 16.33, 'test_top5': 43.4, 'test_ce': 3.5070164169311524, 'test_n': 10000, 'lr': 0.05, 'seconds': 29.378541100013535, 'train_seconds': 27.135247400030494, 'train_n': 50000, 'best_top1': 16.33, 'peak_memory_bytes': 347317760}
{'epoch': 2, 'global_step': 1564, 'ce': 3.1563548992919923, 'kd': 0.0, 'crd': 0.0, 'total': 3.1563548992919923, 'train_top1': 22.214, 'test_top1': 25.29, 'test_top5': 57.1, 'test_ce': 2.9446477394104003, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.644819400040433, 'train_seconds': 26.66225440002745, 'train_n': 50000, 'best_top1': 25.29, 'peak_memory_bytes': 347317760}
{'epoch': 3, 'global_step': 2346, 'ce': 2.7244476911926268, 'kd': 0.0, 'crd': 0.0, 'total': 2.7244476911926268, 'train_top1': 30.172, 'test_top1': 30.8, 'test_top5': 62.78, 'test_ce': 2.8250136127471923, 'test_n': 10000, 'lr': 0.05, 'seconds': 27.27445310004987, 'train_seconds': 25.202947600046173, 'train_n': 50000, 'best_top1': 30.8, 'peak_memory_bytes': 347317760}
{'epoch': 4, 'global_step': 3128, 'ce': 2.3994763081359864, 'kd': 0.0, 'crd': 0.0, 'total': 2.3994763081359864, 'train_top1': 37.086, 'test_top1': 35.65, 'test_top5': 67.92, 'test_ce': 2.536642105102539, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.588432100019418, 'train_seconds': 26.627393500006292, 'train_n': 50000, 'best_top1': 35.65, 'peak_memory_bytes': 347317760}
{'epoch': 5, 'global_step': 3910, 'ce': 2.176474346847534, 'kd': 0.0, 'crd': 0.0, 'total': 2.176474346847534, 'train_top1': 41.918, 'test_top1': 36.12, 'test_top5': 68.38, 'test_ce': 2.57232165222168, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.740690500009805, 'train_seconds': 26.72874240000965, 'train_n': 50000, 'best_top1': 36.12, 'peak_memory_bytes': 347317760}
{'epoch': 6, 'global_step': 4692, 'ce': 2.018791845550537, 'kd': 0.0, 'crd': 0.0, 'total': 2.018791845550537, 'train_top1': 45.39, 'test_top1': 42.88, 'test_top5': 76.25, 'test_ce': 2.148373009490967, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.337675000017043, 'train_seconds': 26.40262900001835, 'train_n': 50000, 'best_top1': 42.88, 'peak_memory_bytes': 347317760}
{'epoch': 7, 'global_step': 5474, 'ce': 1.9007345798492432, 'kd': 0.0, 'crd': 0.0, 'total': 1.9007345798492432, 'train_top1': 48.24, 'test_top1': 42.31, 'test_top5': 75.16, 'test_ce': 2.2463126426696776, 'test_n': 10000, 'lr': 0.05, 'seconds': 27.228547400038224, 'train_seconds': 25.254438400035724, 'train_n': 50000, 'best_top1': 42.88, 'peak_memory_bytes': 347317760}
{'epoch': 8, 'global_step': 6256, 'ce': 1.8155067783737182, 'kd': 0.0, 'crd': 0.0, 'total': 1.8155067783737182, 'train_top1': 50.154, 'test_top1': 44.42, 'test_top5': 77.29, 'test_ce': 2.122494737434387, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.803910200018436, 'train_seconds': 26.83031640003901, 'train_n': 50000, 'best_top1': 44.42, 'peak_memory_bytes': 347317760}
{'epoch': 9, 'global_step': 7038, 'ce': 1.7436910738372802, 'kd': 0.0, 'crd': 0.0, 'total': 1.7436910738372802, 'train_top1': 51.754, 'test_top1': 40.38, 'test_top5': 70.72, 'test_ce': 2.4063150814056398, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.747008399979677, 'train_seconds': 26.721075000008568, 'train_n': 50000, 'best_top1': 44.42, 'peak_memory_bytes': 347317760}
{'epoch': 10, 'global_step': 7820, 'ce': 1.6805470510864258, 'kd': 0.0, 'crd': 0.0, 'total': 1.6805470510864258, 'train_top1': 53.538, 'test_top1': 45.71, 'test_top5': 77.8, 'test_ce': 2.086764387512207, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.8260543999495, 'train_seconds': 26.636169799952768, 'train_n': 50000, 'best_top1': 45.71, 'peak_memory_bytes': 347317760}
{'epoch': 11, 'global_step': 8602, 'ce': 1.6328379858398439, 'kd': 0.0, 'crd': 0.0, 'total': 1.6328379858398439, 'train_top1': 54.78, 'test_top1': 47.24, 'test_top5': 78.88, 'test_ce': 2.0568096950531007, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.750118399970233, 'train_seconds': 26.687786199967377, 'train_n': 50000, 'best_top1': 47.24, 'peak_memory_bytes': 347317760}
{'epoch': 12, 'global_step': 9384, 'ce': 1.588812191696167, 'kd': 0.0, 'crd': 0.0, 'total': 1.588812191696167, 'train_top1': 55.856, 'test_top1': 47.69, 'test_top5': 78.85, 'test_ce': 1.9961292697906494, 'test_n': 10000, 'lr': 0.05, 'seconds': 27.890720200026408, 'train_seconds': 25.647882600023877, 'train_n': 50000, 'best_top1': 47.69, 'peak_memory_bytes': 347317760}
{'epoch': 13, 'global_step': 10166, 'ce': 1.5696405100250244, 'kd': 0.0, 'crd': 0.0, 'total': 1.5696405100250244, 'train_top1': 56.216, 'test_top1': 40.25, 'test_top5': 71.34, 'test_ce': 2.6808591941833497, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.638909799978137, 'train_seconds': 26.61121840000851, 'train_n': 50000, 'best_top1': 47.69, 'peak_memory_bytes': 347317760}
{'epoch': 14, 'global_step': 10948, 'ce': 1.5288232126808166, 'kd': 0.0, 'crd': 0.0, 'total': 1.5288232126808166, 'train_top1': 57.424, 'test_top1': 51.21, 'test_top5': 80.59, 'test_ce': 1.896068787765503, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.874639599991497, 'train_seconds': 26.768629700003657, 'train_n': 50000, 'best_top1': 51.21, 'peak_memory_bytes': 347317760}
{'epoch': 15, 'global_step': 11730, 'ce': 1.5089491426467896, 'kd': 0.0, 'crd': 0.0, 'total': 1.5089491426467896, 'train_top1': 58.028, 'test_top1': 50.52, 'test_top5': 80.18, 'test_ce': 1.9502258880615235, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.780186699994374, 'train_seconds': 26.696796000003815, 'train_n': 50000, 'best_top1': 51.21, 'peak_memory_bytes': 347317760}
{'epoch': 16, 'global_step': 12512, 'ce': 1.4881563480758666, 'kd': 0.0, 'crd': 0.0, 'total': 1.4881563480758666, 'train_top1': 58.542, 'test_top1': 48.92, 'test_top5': 80.76, 'test_ce': 1.9254997982025146, 'test_n': 10000, 'lr': 0.05, 'seconds': 27.41418479999993, 'train_seconds': 25.450109499972314, 'train_n': 50000, 'best_top1': 51.21, 'peak_memory_bytes': 347317760}
{'epoch': 17, 'global_step': 13294, 'ce': 1.4673594801330567, 'kd': 0.0, 'crd': 0.0, 'total': 1.4673594801330567, 'train_top1': 59.214, 'test_top1': 51.74, 'test_top5': 82.07, 'test_ce': 1.8524835676193236, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.75990450003883, 'train_seconds': 26.69345030002296, 'train_n': 50000, 'best_top1': 51.74, 'peak_memory_bytes': 347317760}
{'epoch': 18, 'global_step': 14076, 'ce': 1.4576137259292603, 'kd': 0.0, 'crd': 0.0, 'total': 1.4576137259292603, 'train_top1': 59.216, 'test_top1': 55.56, 'test_top5': 84.17, 'test_ce': 1.6446952850341796, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.781638199987356, 'train_seconds': 26.800082799978554, 'train_n': 50000, 'best_top1': 55.56, 'peak_memory_bytes': 347317760}
{'epoch': 19, 'global_step': 14858, 'ce': 1.4404623600006103, 'kd': 0.0, 'crd': 0.0, 'total': 1.4404623600006103, 'train_top1': 59.744, 'test_top1': 53.62, 'test_top5': 83.62, 'test_ce': 1.7145114213943482, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.72907080000732, 'train_seconds': 26.71113680000417, 'train_n': 50000, 'best_top1': 55.56, 'peak_memory_bytes': 347317760}
{'epoch': 20, 'global_step': 15640, 'ce': 1.4292079970932008, 'kd': 0.0, 'crd': 0.0, 'total': 1.4292079970932008, 'train_top1': 59.96, 'test_top1': 51.12, 'test_top5': 80.84, 'test_ce': 1.8761368661880493, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.87340330000734, 'train_seconds': 26.902342700050212, 'train_n': 50000, 'best_top1': 55.56, 'peak_memory_bytes': 347317760}
